CNT,Country,SocioEcoStatus,Attitude,Discipline,ParentEducation,Cooperation,TeacherFeedback,TeacherEngagment,TeacherSupport,TruantDay,TruantClass,PositiveAffect,LearningTime,Bullying,ClassSize,ExtraCurSciClub,MaterialShortage,StaffShortage,StudentBehaviour,StudentTeacherRatio,TeacherQualification,TeacherBehaviour,GNI
TAP,Chinese Taipei,-0.218385534,-0.01301045,0.181093186,4.488665972,0.21894086,0.276233168,0.049481728,0.069449555,1.054810572,1.147560182,0.022885269,1895.58847,-0.574799021,36.80002316,79.60600267,-0.112547746,0.209979741,17.4882176,16.42024345,92.69831231,20.12529384,48500
THA,Thailand,-0.969663575,0.262462331,0.330941397,3.627981708,0.116494532,0.272139346,0.171947275,0.390807235,1.37616503,1.498382682,-0.338152197,1910.885974,0.109079116,37.06590969,89.60918349,0.337838645,0.273769079,15.9686219,19.77001014,86.98196778,9.680747921,15010
TTO,Trinidad and Tobago,-0.226722198,NA,-0.046471552,4.447452229,NA,0.35829116,NA,0.123387497,NA,NA,0.052872606,NA,NA,29.34763768,38.52269203,0.854897778,0.634291329,59.33870994,13.17844238,79.0909382,43.05572175,27250
TUN,Tunisia,-0.86021334,0.674144943,-0.417681704,4.052774544,0.124988082,0.553995521,0.147834064,0.085565023,1.435824533,1.591861899,-0.197863224,1810.435397,0.317134262,27.75276315,58.67623602,1.588520836,1.361294265,29.23233307,11.44443391,79.04591991,20.3756084,9890
TUR,Turkey,-1.44765093,0.613742604,-0.134856668,3.000853825,7.24e-4,0.351003769,0.106914349,0.196153093,1.723208072,1.648459384,-0.436531168,1558.74932,-0.972977163,47.15013856,42.17756542,0.137804648,0.529139656,23.2154749,15.15652225,77.7397982,16.83882236,25429.4912
URY,Uruguay,-0.745546904,-0.051152096,-0.100352538,3.640396572,0.114260379,0.054068204,0.01442193,0.253385911,1.676091182,1.529012676,-0.071464949,1402.093049,-0.047925831,27.19186952,35.15669173,0.249385753,0.342772307,20.18651858,13.66673741,6.204857269,29.11957643,19310
USA,United States,0.079258425,0.660579356,0.29076775,4.783181899,0.123373502,0.329876678,0.236452265,0.341157021,1.452084461,1.508149221,-0.085299122,1651.817384,0.164154812,25.79096839,75.1097353,-0.331031437,-0.286613631,18.40245836,16.02269683,92.70885399,13.3295745,58264.18109
VNM,Viet Nam,-1.82166309,NA,0.420824067,2.579662767,NA,0.519628906,NA,0.314073757,NA,NA,-0.055959997,NA,NA,40.10657684,44.26408176,0.385489252,0.052549871,4.605978608,16.20912695,92.38239444,13.34104418,5790
ARG,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,Belarus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIH,Bosnia and Herzegovina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRN,Brunei Darussalam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KAZ,Kazakhstan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MYS,Malaysia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAR,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7111.099478
PAN,Panama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHL,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAU,Saudi Arabia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49507.35295
SRB,Serbia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UKR,Ukraine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,CABA (Argentina),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.50629148,48.64901084,-0.11500953,-0.160429084,5.651595556,10.29968982,34.17547715,10.72000614,NA
CYP,"Cyprus1,2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.51965451,NA,NA,NA,NA,7.51663557,NA,NA,NA
